event_id,event_type,user_id,product_id,event_timestamp
1,view,475,566,01-01-2024 06:47
2,view,703,546,01-01-2024 07:43
3,add_to_cart,703,546,01-01-2024 07:44
4,checkout,703,546,01-01-2024 07:47
5,payment,703,546,01-01-2024 07:55
6,order_placed,703,546,01-01-2024 07:56
7,view,222,509,01-01-2024 08:40
8,add_to_cart,222,509,01-01-2024 08:42
9,view,633,571,01-01-2024 10:59
10,view,678,540,01-01-2024 12:22
11,view,238,588,01-01-2024 17:16
12,view,909,542,01-01-2024 18:43
13,view,1040,571,01-01-2024 19:02
14,view,868,568,01-01-2024 20:42
15,add_to_cart,868,568,01-01-2024 20:45
16,checkout,868,568,01-01-2024 20:48
17,view,493,515,01-01-2024 21:38
18,view,883,552,02-01-2024 02:18
19,view,854,599,02-01-2024 02:49
20,view,872,507,02-01-2024 08:42
21,view,1013,528,02-01-2024 10:45
22,view,545,582,02-01-2024 11:09
23,view,528,593,02-01-2024 12:50
24,view,152,533,02-01-2024 15:33
25,view,391,596,02-01-2024 16:16
26,view,923,521,02-01-2024 17:34
27,add_to_cart,923,521,02-01-2024 17:36
28,checkout,923,521,02-01-2024 17:37
29,payment,923,521,02-01-2024 17:42
30,view,372,560,02-01-2024 20:27
31,view,935,533,02-01-2024 20:45
32,view,102,548,02-01-2024 22:21
33,add_to_cart,102,548,02-01-2024 22:22
34,view,1074,529,03-01-2024 01:18
35,view,438,506,03-01-2024 04:44
36,view,1009,582,03-01-2024 06:02
37,view,404,537,03-01-2024 07:37
38,view,750,520,03-01-2024 08:59
39,view,513,572,03-01-2024 11:36
40,view,877,557,03-01-2024 12:09
41,view,256,563,03-01-2024 12:54
42,view,848,595,03-01-2024 19:30
43,view,170,509,03-01-2024 19:45
44,view,805,584,03-01-2024 22:24
45,view,856,582,04-01-2024 01:21
46,view,341,513,04-01-2024 01:41
47,view,881,583,04-01-2024 01:57
48,view,127,535,04-01-2024 03:22
49,view,795,598,04-01-2024 04:53
50,view,882,559,04-01-2024 07:23
51,view,723,523,04-01-2024 08:02
52,view,551,550,04-01-2024 08:50
53,view,311,567,04-01-2024 12:35
54,view,408,576,04-01-2024 13:01
55,view,203,571,04-01-2024 16:35
56,view,1032,562,04-01-2024 16:36
57,view,1064,580,04-01-2024 19:07
58,view,275,594,04-01-2024 19:38
59,view,466,591,04-01-2024 21:34
60,view,819,596,04-01-2024 22:31
61,view,950,582,04-01-2024 23:17
62,add_to_cart,950,582,04-01-2024 23:19
63,view,957,539,04-01-2024 23:47
64,view,218,583,05-01-2024 00:10
65,add_to_cart,218,583,05-01-2024 00:10
66,checkout,218,583,05-01-2024 00:14
67,view,865,583,05-01-2024 01:55
68,view,669,575,05-01-2024 02:34
69,view,520,535,05-01-2024 04:30
70,view,758,515,05-01-2024 07:00
71,view,1032,540,05-01-2024 09:40
72,view,555,552,05-01-2024 10:05
73,add_to_cart,555,552,05-01-2024 10:05
74,checkout,555,552,05-01-2024 10:10
75,payment,555,552,05-01-2024 10:11
76,order_placed,555,552,05-01-2024 10:13
77,view,828,521,05-01-2024 10:31
78,view,878,536,05-01-2024 11:17
